main_sound,level,hanja,meaning,radical,strokes,total_strokes
비,4급Ⅱ,非,"[[['아닐'], ['비']]]",非,0,8
비,4급Ⅱ,悲,"[[['슬플'], ['비']]]",心,8,12
빈,4급Ⅱ,貧,"[[['가난할'], ['빈']]]",貝,4,11
사,4급Ⅱ,寺,"[[['절'], ['사']]]",寸,3,6
사,4급Ⅱ,師,"[[['스승'], ['사']]]",巾,7,10
사,4급Ⅱ,謝,"[[['사례할'], ['사']]]",言,10,17
사,4급Ⅱ,舍,"[[['집'], ['사']]]",舌,2,8
살,4급Ⅱ,殺,"[[['죽일'], ['살']], [['감할', '빠를'], ['쇄']]]",殳,7,11
상,4급Ⅱ,常,"[[['떳떳할'], ['상']]]",巾,8,11
상,4급Ⅱ,床,"[[['상'], ['상']]]",广,4,7
상,4급Ⅱ,想,"[[['생각'], ['상']]]",心,9,13
상,4급Ⅱ,狀,"[[['형상'], ['상']], [['문서'], ['장']]]",犬,4,8
설,4급Ⅱ,設,"[[['베풀'], ['설']]]",言,4,11
성,4급Ⅱ,誠,"[[['정성'], ['성']]]",言,7,14
성,4급Ⅱ,聲,"[[['소리'], ['성']]]",耳,11,17
성,4급Ⅱ,盛,"[[['성할'], ['성']]]",皿,7,12
성,4급Ⅱ,聖,"[[['성인'], ['성']]]",耳,7,13
성,4급Ⅱ,城,"[[['재'], ['성']]]",土,7,10
성,4급Ⅱ,星,"[[['별'], ['성']]]",日,5,9
세,4급Ⅱ,勢,"[[['형세'], ['세']]]",力,11,13
세,4급Ⅱ,稅,"[[['세금'], ['세']]]",禾,7,12
세,4급Ⅱ,細,"[[['가늘'], ['세']]]",糸,5,11
소,4급Ⅱ,笑,"[[['웃음'], ['소']]]",竹,4,10
소,4급Ⅱ,掃,"[[['쓸[掃除]'], ['소']]]",手,8,11
소,4급Ⅱ,素,"[[['본디', '흴[白]'], ['소']]]",糸,4,10
속,4급Ⅱ,續,"[[['이을'], ['속']]]",糸,15,21
속,4급Ⅱ,俗,"[[['풍속'], ['속']]]",人,7,9
송,4급Ⅱ,送,"[[['보낼'], ['송']]]",辵,6,10
수,4급Ⅱ,修,"[[['닦을'], ['수']]]",人,8,10
수,4급Ⅱ,受,"[[['받을'], ['수']]]",又,6,8
수,4급Ⅱ,守,"[[['지킬'], ['수']]]",宀,3,6
수,4급Ⅱ,授,"[[['줄'], ['수']]]",手,8,11
수,4급Ⅱ,收,"[[['거둘'], ['수']]]",攴,2,6
순,4급Ⅱ,純,"[[['순수할'], ['순']]]",糸,4,10
승,4급Ⅱ,承,"[[['이을'], ['승']]]",手,4,8
시,4급Ⅱ,詩,"[[['시'], ['시']]]",言,6,13
시,4급Ⅱ,試,"[[['시험'], ['시']]]",言,6,13
시,4급Ⅱ,視,"[[['볼'], ['시']]]",見,5,12
시,4급Ⅱ,施,"[[['베풀'], ['시']]]",方,5,9
시,4급Ⅱ,是,"[[['이[斯]', '옳을'], ['시']]]",日,5,9
식,4급Ⅱ,息,"[[['쉴'], ['식']]]",心,6,10
신,4급Ⅱ,申,"[[['납[猿]'], ['신']]]",田,0,5
심,4급Ⅱ,深,"[[['깊을'], ['심']]]",水,8,11
안,4급Ⅱ,眼,"[[['눈'], ['안']]]",目,6,11
암,4급Ⅱ,暗,"[[['어두울'], ['암']]]",日,9,13
압,4급Ⅱ,壓,"[[['누를'], ['압']]]",土,14,17
액,4급Ⅱ,液,"[[['진'], ['액']]]",水,8,11
양,4급Ⅱ,羊,"[[['양'], ['양']]]",羊,0,6
여,4급Ⅱ,餘,"[[['남을'], ['여']]]",食,7,16
여,4급Ⅱ,如,"[[['같을'], ['여']]]",女,3,6
역,4급Ⅱ,逆,"[[['거스릴'], ['역']]]",辵,6,10
연,4급Ⅱ,煙,"[[['연기'], ['연']]]",火,9,13
연,4급Ⅱ,硏,"[[['갈'], ['연']]]",石,6,11
연,4급Ⅱ,演,"[[['펼'], ['연']]]",水,11,14
영,4급Ⅱ,榮,"[[['영화'], ['영']]]",木,10,14
예,4급Ⅱ,藝,"[[['재주'], ['예']]]",艸,15,19
오,4급Ⅱ,誤,"[[['그르칠'], ['오']]]",言,7,14
옥,4급Ⅱ,玉,"[[['구슬'], ['옥']]]",玉,0,5
왕,4급Ⅱ,往,"[[['갈'], ['왕']]]",彳,5,8
요,4급Ⅱ,謠,"[[['노래'], ['요']]]",言,10,17
용,4급Ⅱ,容,"[[['얼굴'], ['용']]]",宀,7,10
원,4급Ⅱ,圓,"[[['둥글'], ['원']]]",囗,10,13
원,4급Ⅱ,員,"[[['인원'], ['원']]]",口,7,10
위,4급Ⅱ,衛,"[[['지킬'], ['위']]]",行,9,15
위,4급Ⅱ,爲,"[[['하', '할'], ['위']]]",爪,8,12
육,4급Ⅱ,肉,"[[['고기'], ['육']]]",肉,0,6
은,4급Ⅱ,恩,"[[['은혜'], ['은']]]",心,6,10
음,4급Ⅱ,陰,"[[['그늘'], ['음']]]",阜,8,11
응,4급Ⅱ,應,"[[['응할'], ['응']]]",心,13,17
의,4급Ⅱ,議,"[[['의논할'], ['의']]]",言,13,20
의,4급Ⅱ,義,"[[['옳을'], ['의']]]",羊,7,13
이,4급Ⅱ,移,"[[['옮길'], ['이']]]",禾,6,11
익,4급Ⅱ,益,"[[['더할'], ['익']]]",皿,5,10
인,4급Ⅱ,印,"[[['도장'], ['인']]]",卩,4,6
인,4급Ⅱ,引,"[[['끌'], ['인']]]",弓,1,4
인,4급Ⅱ,認,"[[['알[知]'], ['인']]]",言,7,14
장,4급Ⅱ,將,"[[['장수'], ['장']]]",寸,8,11
장,4급Ⅱ,障,"[[['막을'], ['장']]]",阜,11,14
저,4급Ⅱ,低,"[[['낮을'], ['저']]]",人,5,7
적,4급Ⅱ,敵,"[[['대적할'], ['적']]]",攴,11,15
전,4급Ⅱ,田,"[[['밭'], ['전']]]",田,0,5
절,4급Ⅱ,絶,"[[['끊을'], ['절']]]",糸,6,12
접,4급Ⅱ,接,"[[['이을'], ['접']]]",手,8,11
정,4급Ⅱ,政,"[[['정사(政事)'], ['정']]]",攴,5,9
정,4급Ⅱ,程,"[[['한도', '길[道]'], ['정']]]",禾,7,12
정,4급Ⅱ,精,"[[['정할'], ['정']]]",米,8,14
제,4급Ⅱ,濟,"[[['건널'], ['제']]]",水,14,17
제,4급Ⅱ,提,"[[['끌'], ['제']]]",手,9,12
제,4급Ⅱ,制,"[[['절제할'], ['제']]]",刀,6,8
제,4급Ⅱ,製,"[[['지을'], ['제']]]",衣,8,14
제,4급Ⅱ,除,"[[['덜'], ['제']]]",阜,7,10
제,4급Ⅱ,際,"[[['즈음', '가[邊]'], ['제']]]",阜,11,14
제,4급Ⅱ,祭,"[[['제사'], ['제']]]",示,6,11
조,4급Ⅱ,鳥,"[[['새'], ['조']]]",鳥,0,11
조,4급Ⅱ,助,"[[['도울'], ['조']]]",力,5,7
조,4급Ⅱ,早,"[[['이를'], ['조']]]",日,2,6
조,4급Ⅱ,造,"[[['지을'], ['조']]]",辵,7,11
존,4급Ⅱ,尊,"[[['높을'], ['존']]]",寸,9,12
종,4급Ⅱ,宗,"[[['마루'], ['종']]]",宀,5,8
주,4급Ⅱ,走,"[[['달릴'], ['주']]]",走,0,7
죽,4급Ⅱ,竹,"[[['대'], ['죽']]]",竹,0,6
준,4급Ⅱ,準,"[[['준할'], ['준']]]",水,10,13
중,4급Ⅱ,衆,"[[['무리'], ['중']]]",血,6,12
증,4급Ⅱ,增,"[[['더할'], ['증']]]",土,12,15
지,4급Ⅱ,志,"[[['뜻'], ['지']]]",心,3,7
지,4급Ⅱ,指,"[[['가리킬'], ['지']]]",手,6,9
지,4급Ⅱ,支,"[[['지탱할'], ['지']]]",支,0,4
지,4급Ⅱ,至,"[[['이를'], ['지']]]",至,0,6
직,4급Ⅱ,職,"[[['직분'], ['직']]]",耳,12,18
진,4급Ⅱ,進,"[[['나아갈'], ['진']]]",辵,8,12
진,4급Ⅱ,眞,"[[['참'], ['진']]]",目,5,10
차,4급Ⅱ,次,"[[['버금'], ['차']]]",欠,2,6
찰,4급Ⅱ,察,"[[['살필'], ['찰']]]",宀,11,14
창,4급Ⅱ,創,"[[['비롯할'], ['창']]]",刀,10,12
처,4급Ⅱ,處,"[[['곳'], ['처']]]",虍,5,11
청,4급Ⅱ,請,"[[['청할'], ['청']]]",言,8,15
총,4급Ⅱ,總,"[[['다[皆]'], ['총']]]",糸,11,17
총,4급Ⅱ,銃,"[[['총'], ['총']]]",金,6,14
축,4급Ⅱ,築,"[[['쌓을'], ['축']]]",竹,10,16
축,4급Ⅱ,蓄,"[[['모을'], ['축']]]",艸,10,14
충,4급Ⅱ,忠,"[[['충성'], ['충']]]",心,4,8
충,4급Ⅱ,蟲,"[[['벌레'], ['충']]]",虫,12,18
취,4급Ⅱ,取,"[[['가질'], ['취']]]",又,6,8
측,4급Ⅱ,測,"[[['헤아릴'], ['측']]]",水,9,12
치,4급Ⅱ,治,"[[['다스릴'], ['치']]]",水,5,8
치,4급Ⅱ,置,"[[['둘[措]'], ['치']]]",网,8,13
