main_sound,level,hanja,meaning,radical,strokes,total_strokes
각,6급Ⅱ,各,"[[['각각'], ['각']]]",口,3,6
각,6급Ⅱ,角,"[[['뿔'], ['각']]]",角,0,7
계,6급Ⅱ,界,"[[['지경'], ['계']]]",田,4,9
계,6급Ⅱ,計,"[[['셀'], ['계']]]",言,2,9
고,6급Ⅱ,高,"[[['높을'], ['고']]]",高,0,10
공,6급Ⅱ,公,"[[['공평할'], ['공']]]",八,2,4
공,6급Ⅱ,共,"[[['한가지'], ['공']]]",八,4,6
공,6급Ⅱ,功,"[[['공[勳]'], ['공']]]",力,3,5
과,6급Ⅱ,果,"[[['실과'], ['과']]]",木,4,8
과,6급Ⅱ,科,"[[['과목'], ['과']]]",禾,4,9
광,6급Ⅱ,光,"[[['빛'], ['광']]]",儿,4,6
구,6급Ⅱ,球,"[[['공'], ['구']]]",玉,7,11
금,6급Ⅱ,今,"[[['이제'], ['금']]]",人,2,4
급,6급Ⅱ,急,"[[['급할'], ['급']]]",心,5,9
단,6급Ⅱ,短,"[[['짧을'], ['단']]]",矢,7,12
당,6급Ⅱ,堂,"[[['집'], ['당']]]",土,8,11
대,6급Ⅱ,代,"[[['대신할'], ['대']]]",人,3,5
대,6급Ⅱ,對,"[[['대할'], ['대']]]",寸,11,14
도,6급Ⅱ,圖,"[[['그림'], ['도']]]",囗,11,14
독,6급Ⅱ,讀,"[[['읽을'], ['독']], [['구절'], ['두']]]",言,15,22
동,6급Ⅱ,童,"[[['아이'], ['동']]]",立,7,12
등,6급Ⅱ,等,"[[['무리'], ['등']]]",竹,6,12
락,6급Ⅱ,樂,"[[['즐길'], ['락']], [['노래'], ['악']], [['좋아할'], ['요']]]",木,11,15
리,6급Ⅱ,利,"[[['이할'], ['리']]]",刀,5,7
리,6급Ⅱ,理,"[[['다스릴'], ['리']]]",玉,7,11
명,6급Ⅱ,明,"[[['밝을'], ['명']]]",日,4,8
문,6급Ⅱ,聞,"[[['들을'], ['문']]]",耳,8,14
반,6급Ⅱ,半,"[[['반(半)'], ['반']]]",十,3,5
반,6급Ⅱ,反,"[[['돌이킬', '돌아올'], ['반']]]",又,2,4
반,6급Ⅱ,班,"[[['나눌'], ['반']]]",玉,6,10
발,6급Ⅱ,發,"[[['필'], ['발']]]",癶,7,12
방,6급Ⅱ,放,"[[['놓을'], ['방']]]",攴,4,8
부,6급Ⅱ,部,"[[['떼'], ['부']]]",邑,8,11
분,6급Ⅱ,分,"[[['나눌'], ['분']]]",刀,2,4
사,6급Ⅱ,社,"[[['모일'], ['사']]]",示,3,8
서,6급Ⅱ,書,"[[['글'], ['서']]]",曰,6,10
선,6급Ⅱ,線,"[[['줄'], ['선']]]",糸,9,15
설,6급Ⅱ,雪,"[[['눈'], ['설']]]",雨,3,11
성,6급Ⅱ,成,"[[['이룰'], ['성']]]",戈,3,7
성,6급Ⅱ,省,"[[['살필'], ['성']], [['덜'], ['생']]]",目,4,9
소,6급Ⅱ,消,"[[['사라질'], ['소']]]",水,7,10
술,6급Ⅱ,術,"[[['재주'], ['술']]]",行,5,11
시,6급Ⅱ,始,"[[['비로소'], ['시']]]",女,5,8
신,6급Ⅱ,身,"[[['몸'], ['신']]]",身,0,7
신,6급Ⅱ,神,"[[['귀신'], ['신']]]",示,5,10
신,6급Ⅱ,信,"[[['믿을'], ['신']]]",人,7,9
신,6급Ⅱ,新,"[[['새'], ['신']]]",斤,9,13
약,6급Ⅱ,弱,"[[['약할'], ['약']]]",弓,7,10
약,6급Ⅱ,藥,"[[['약'], ['약']]]",艸,15,19
업,6급Ⅱ,業,"[[['업'], ['업']]]",木,9,13
용,6급Ⅱ,勇,"[[['날랠'], ['용']]]",力,7,9
용,6급Ⅱ,用,"[[['쓸'], ['용']]]",用,0,5
운,6급Ⅱ,運,"[[['옮길'], ['운']]]",辵,9,13
음,6급Ⅱ,音,"[[['소리'], ['음']]]",音,0,9
음,6급Ⅱ,飮,"[[['마실'], ['음']]]",食,4,13
의,6급Ⅱ,意,"[[['뜻'], ['의']]]",心,9,13
작,6급Ⅱ,作,"[[['지을'], ['작']]]",人,5,7
작,6급Ⅱ,昨,"[[['어제'], ['작']]]",日,5,9
재,6급Ⅱ,才,"[[['재주'], ['재']]]",手,0,3
전,6급Ⅱ,戰,"[[['싸움'], ['전']]]",戈,12,16
정,6급Ⅱ,庭,"[[['뜰'], ['정']]]",广,7,10
제,6급Ⅱ,第,"[[['차례'], ['제']]]",竹,5,11
제,6급Ⅱ,題,"[[['제목'], ['제']]]",頁,9,18
주,6급Ⅱ,注,"[[['부을'], ['주']]]",水,5,8
집,6급Ⅱ,集,"[[['모을'], ['집']]]",隹,4,12
창,6급Ⅱ,窓,"[[['창'], ['창']]]",穴,6,11
청,6급Ⅱ,淸,"[[['맑을'], ['청']]]",水,8,11
체,6급Ⅱ,體,"[[['몸'], ['체']]]",骨,13,23
표,6급Ⅱ,表,"[[['겉'], ['표']]]",衣,2,8
풍,6급Ⅱ,風,"[[['바람'], ['풍']]]",風,0,9
행,6급Ⅱ,幸,"[[['다행'], ['행']]]",干,5,8
현,6급Ⅱ,現,"[[['나타날'], ['현']]]",玉,7,11
형,6급Ⅱ,形,"[[['모양'], ['형']]]",彡,4,7
화,6급Ⅱ,和,"[[['화할'], ['화']]]",口,5,8
회,6급Ⅱ,會,"[[['모일'], ['회']]]",曰,9,13
