main_sound,level,hanja,meaning,radical,strokes,total_strokes
가,2급,柯,"[[['가지'], ['가']]]",木,5,9
가,2급,賈,"[[['성(姓)'], ['가']], [['장사'], ['고']]]",貝,6,13
가,2급,軻,"[[['수레', '사람이름'], ['가']]]",車,5,12
가,2급,迦,"[[['부처이름'], ['가']]]",辵,5,9
가,2급,伽,"[[['절'], ['가']]]",人,5,7
각,2급,珏,"[[['쌍옥'], ['각']]]",玉,5,9
간,2급,杆,"[[['몽둥이'], ['간']]]",木,3,7
간,2급,艮,"[[['괘이름'], ['간']]]",艮,0,6
갈,2급,葛,"[[['칡'], ['갈']]]",艸,9,13
갈,2급,鞨,"[[['오랑캐이름'], ['갈']]]",革,9,18
감,2급,憾,"[[['섭섭할'], ['감']]]",心,13,16
갑,2급,鉀,"[[['갑옷'], ['갑']]]",金,5,13
갑,2급,岬,"[[['곶(串)'], ['갑']]]",山,5,8
강,2급,姜,"[[['성(姓)'], ['강']]]",女,6,9
강,2급,崗,"[[['언덕'], ['강']]]",山,8,11
강,2급,疆,"[[['지경'], ['강']]]",田,14,19
강,2급,岡,"[[['산등성이'], ['강']]]",山,5,8
강,2급,彊,"[[['굳셀'], ['강']]]",弓,13,16
개,2급,价,"[[['클'], ['개']]]",人,4,6
개,2급,塏,"[[['높은땅'], ['개']]]",土,10,13
갱,2급,坑,"[[['구덩이'], ['갱']]]",土,4,7
건,2급,鍵,"[[['자물쇠', '열쇠'], ['건']]]",金,9,17
걸,2급,桀,"[[['하(夏)왕이름'], ['걸']]]",木,6,10
걸,2급,杰,"[[['뛰어날'], ['걸']]]",木,4,8
게,2급,憩,"[[['쉴'], ['게']]]",心,12,16
게,2급,揭,"[[['높이들[擧]', '걸[掛]'], ['게']]]",手,9,12
견,2급,甄,"[[['질그릇'], ['견']]]",瓦,9,14
경,2급,璟,"[[['옥빛'], ['경']]]",玉,12,16
경,2급,儆,"[[['경계할'], ['경']]]",人,13,15
경,2급,瓊,"[[['구슬'], ['경']]]",玉,15,19
경,2급,炅,"[[['빛날'], ['경']]]",火,4,8
고,2급,雇,"[[['품팔'], ['고']]]",隹,4,12
고,2급,皐,"[[['언덕'], ['고']]]",白,6,11
과,2급,菓,"[[['과자 과', '실과'], ['과']]]",艸,8,12
과,2급,戈,"[[['창'], ['과']]]",戈,0,4
과,2급,瓜,"[[['외'], ['과']]]",瓜,0,5
관,2급,款,"[[['항목'], ['관']]]",欠,8,12
관,2급,琯,"[[['옥피리'], ['관']]]",玉,8,12
관,2급,串,"[[['꿸'], ['관']], [['땅이름'], ['곶']]]",丨,6,7
괴,2급,傀,"[[['허수아비'], ['괴']]]",人,10,12
괴,2급,槐,"[[['회화나무', '느티나무'], ['괴']]]",木,10,14
교,2급,僑,"[[['더부살이'], ['교']]]",人,12,14
교,2급,膠,"[[['아교'], ['교']]]",肉,11,15
교,2급,絞,"[[['목맬'], ['교']]]",糸,6,12
구,2급,鷗,"[[['갈매기'], ['구']]]",鳥,11,22
구,2급,歐,"[[['구라파', '칠'], ['구']]]",欠,11,15
구,2급,購,"[[['살'], ['구']]]",貝,10,17
구,2급,邱,"[[['언덕'], ['구']]]",邑,5,8
구,2급,玖,"[[['옥돌'], ['구']]]",玉,3,7
국,2급,鞠,"[[['성(姓)', '국문할'], ['국']]]",革,8,17
굴,2급,窟,"[[['굴'], ['굴']]]",穴,8,13
굴,2급,掘,"[[['팔'], ['굴']]]",手,8,11
권,2급,圈,"[[['우리[牢]'], ['권']]]",囗,8,11
궐,2급,闕,"[[['대궐'], ['궐']]]",門,10,18
규,2급,閨,"[[['안방'], ['규']]]",門,6,14
규,2급,珪,"[[['홀'], ['규']]]",玉,6,10
규,2급,揆,"[[['헤아릴'], ['규']]]",手,9,12
규,2급,奎,"[[['별'], ['규']]]",大,6,9
규,2급,圭,"[[['서옥(瑞玉)', '쌍토'], ['규']]]",土,3,6
근,2급,瑾,"[[['아름다운옥'], ['근']]]",玉,11,15
근,2급,槿,"[[['무궁화'], ['근']]]",木,11,15
긍,2급,兢,"[[['떨릴'], ['긍']]]",儿,12,14
