main_sound,level,hanja,meaning,radical,strokes,total_strokes
가,5급Ⅱ,價,"[[['값'], ['가']]]",人,13,15
객,5급Ⅱ,客,"[[['손'], ['객']]]",宀,6,9
격,5급Ⅱ,格,"[[['격식'], ['격']]]",木,6,10
견,5급Ⅱ,見,"[[['볼'], ['견']], [['뵈올'], ['현']]]",見,0,7
결,5급Ⅱ,結,"[[['맺을'], ['결']]]",糸,6,12
결,5급Ⅱ,決,"[[['결단할'], ['결']]]",水,4,7
경,5급Ⅱ,敬,"[[['공경'], ['경']]]",攴,9,13
고,5급Ⅱ,告,"[[['고할'], ['고']]]",口,4,7
과,5급Ⅱ,課,"[[['공부할', '과정'], ['과']]]",言,8,15
과,5급Ⅱ,過,"[[['지날'], ['과']]]",辵,9,13
관,5급Ⅱ,觀,"[[['볼'], ['관']]]",見,18,25
관,5급Ⅱ,關,"[[['관계할'], ['관']]]",門,11,19
광,5급Ⅱ,廣,"[[['넓을'], ['광']]]",广,12,15
구,5급Ⅱ,具,"[[['갖출'], ['구']]]",八,6,8
구,5급Ⅱ,舊,"[[['예'], ['구']]]",臼,12,18
국,5급Ⅱ,局,"[[['판[形局]'], ['국']]]",尸,4,7
기,5급Ⅱ,基,"[[['터'], ['기']]]",土,8,11
기,5급Ⅱ,己,"[[['몸'], ['기']]]",己,0,3
념,5급Ⅱ,念,"[[['생각'], ['념']]]",心,4,8
능,5급Ⅱ,能,"[[['능할'], ['능']]]",肉,6,10
단,5급Ⅱ,團,"[[['둥글'], ['단']]]",囗,11,14
당,5급Ⅱ,當,"[[['마땅'], ['당']]]",田,8,13
덕,5급Ⅱ,德,"[[['큰'], ['덕']]]",彳,12,15
도,5급Ⅱ,到,"[[['이를'], ['도']]]",刀,6,8
독,5급Ⅱ,獨,"[[['홀로'], ['독']]]",犬,13,16
랑,5급Ⅱ,朗,"[[['밝을'], ['랑']]]",月,7,11
량,5급Ⅱ,良,"[[['어질'], ['량']]]",艮,1,7
려,5급Ⅱ,旅,"[[['나그네'], ['려']]]",方,6,10
력,5급Ⅱ,歷,"[[['지날'], ['력']]]",止,12,16
련,5급Ⅱ,練,"[[['익힐'], ['련']]]",糸,9,15
로,5급Ⅱ,勞,"[[['일할'], ['로']]]",力,10,12
류,5급Ⅱ,流,"[[['흐를'], ['류']]]",水,7,10
류,5급Ⅱ,類,"[[['무리'], ['류']]]",頁,10,19
륙,5급Ⅱ,陸,"[[['뭍'], ['륙']]]",阜,8,11
망,5급Ⅱ,望,"[[['바랄'], ['망']]]",月,7,11
법,5급Ⅱ,法,"[[['법'], ['법']]]",水,5,8
변,5급Ⅱ,變,"[[['변할'], ['변']]]",言,16,23
병,5급Ⅱ,兵,"[[['병사'], ['병']]]",八,5,7
복,5급Ⅱ,福,"[[['복'], ['복']]]",示,9,14
봉,5급Ⅱ,奉,"[[['받들'], ['봉']]]",大,5,8
사,5급Ⅱ,史,"[[['사기(史記)'], ['사']]]",口,2,5
사,5급Ⅱ,士,"[[['선비'], ['사']]]",士,0,3
사,5급Ⅱ,仕,"[[['섬길'], ['사']]]",人,3,5
산,5급Ⅱ,産,"[[['낳을'], ['산']]]",生,6,11
상,5급Ⅱ,商,"[[['장사'], ['상']]]",口,8,11
상,5급Ⅱ,相,"[[['서로'], ['상']]]",目,4,9
선,5급Ⅱ,鮮,"[[['고울'], ['선']]]",魚,6,17
선,5급Ⅱ,仙,"[[['신선'], ['선']]]",人,3,5
설,5급Ⅱ,說,"[[['말씀'], ['설']], [['달랠'], ['세']]]",言,7,14
성,5급Ⅱ,性,"[[['성품'], ['성']]]",心,5,8
세,5급Ⅱ,洗,"[[['씻을'], ['세']]]",水,6,9
세,5급Ⅱ,歲,"[[['해'], ['세']]]",止,9,13
속,5급Ⅱ,束,"[[['묶을'], ['속']]]",木,3,7
수,5급Ⅱ,首,"[[['머리'], ['수']]]",首,0,9
숙,5급Ⅱ,宿,"[[['잘'], ['숙']], [['별자리'], ['수']]]",宀,8,11
순,5급Ⅱ,順,"[[['순할'], ['순']]]",頁,3,12
