main_sound,level,hanja,meaning,radical,strokes,total_strokes
각,3급,却,"[[['물리칠'], ['각']]]",卩,5,7
간,3급,姦,"[[['간음할'], ['간']]]",女,6,9
갈,3급,渴,"[[['목마를'], ['갈']]]",水,9,12
개,3급,皆,"[[['다[總]'], ['개']]]",白,4,9
개,3급,慨,"[[['슬퍼할'], ['개']]]",心,11,14
걸,3급,乞,"[[['빌'], ['걸']]]",乙,2,3
견,3급,遣,"[[['보낼'], ['견']]]",辵,10,14
견,3급,肩,"[[['어깨'], ['견']]]",肉,4,8
견,3급,絹,"[[['비단'], ['견']]]",糸,7,13
견,3급,牽,"[[['이끌', '끌'], ['견']]]",牛,7,11
경,3급,卿,"[[['벼슬'], ['경']]]",卩,10,12
경,3급,庚,"[[['별'], ['경']]]",广,5,8
경,3급,竟,"[[['마침내'], ['경']]]",立,6,11
계,3급,繫,"[[['맬'], ['계']]]",糸,13,19
계,3급,癸,"[[['북방', '천간'], ['계']]]",癶,4,9
고,3급,顧,"[[['돌아볼'], ['고']]]",頁,12,21
고,3급,枯,"[[['마를'], ['고']]]",木,5,9
곤,3급,坤,"[[['따'], ['곤']]]",土,5,8
곽,3급,郭,"[[['둘레', '외성'], ['곽']]]",邑,8,11
괘,3급,掛,"[[['걸[懸]'], ['괘']]]",手,8,11
괴,3급,塊,"[[['흙덩이'], ['괴']]]",土,10,13
괴,3급,愧,"[[['부끄러울'], ['괴']]]",心,10,13
교,3급,郊,"[[['들[野]'], ['교']]]",邑,6,9
교,3급,矯,"[[['바로잡을'], ['교']]]",矢,12,17
구,3급,俱,"[[['함께'], ['구']]]",人,8,10
구,3급,龜,"[[['거북'], ['구']], [['거북'], ['귀']], [['터질'], ['균']]]",龜,0,16
구,3급,驅,"[[['몰'], ['구']]]",馬,11,21
구,3급,苟,"[[['진실로', '구차할'], ['구']]]",艸,5,9
구,3급,懼,"[[['두려워할'], ['구']]]",心,18,21
구,3급,狗,"[[['개'], ['구']]]",犬,5,8
궐,3급,厥,"[[['그[其]'], ['궐']]]",厂,10,12
궤,3급,軌,"[[['바퀴자국'], ['궤']]]",車,2,9
규,3급,糾,"[[['얽힐'], ['규']]]",糸,2,8
규,3급,叫,"[[['부르짖을'], ['규']]]",口,2,5
근,3급,僅,"[[['겨우'], ['근']]]",人,11,13
근,3급,謹,"[[['삼갈'], ['근']]]",言,11,18
근,3급,斤,"[[['근[무게단위]', '날[刃]'], ['근']]]",斤,0,4
긍,3급,肯,"[[['즐길'], ['긍']]]",肉,4,8
기,3급,旣,"[[['이미'], ['기']]]",无,7,11
기,3급,忌,"[[['꺼릴'], ['기']]]",心,3,7
기,3급,棄,"[[['버릴'], ['기']]]",木,8,12
기,3급,欺,"[[['속일'], ['기']]]",欠,8,12
기,3급,飢,"[[['주릴'], ['기']]]",食,2,11
기,3급,豈,"[[['어찌'], ['기']]]",豆,3,10
기,3급,幾,"[[['몇'], ['기']]]",幺,9,12
나,3급,那,"[[['어찌'], ['나']]]",邑,4,7
내,3급,奈,"[[['어찌'], ['내']]]",大,5,8
내,3급,乃,"[[['이에'], ['내']]]",丿,1,2
뇌,3급,惱,"[[['번뇌할'], ['뇌']]]",心,9,12
답,3급,畓,"[[['논'], ['답']]]",田,4,9
도,3급,跳,"[[['뛸'], ['도']]]",足,6,13
도,3급,挑,"[[['돋울'], ['도']]]",手,6,9
도,3급,塗,"[[['칠할'], ['도']]]",土,10,13
