main_sound,level,hanja,meaning,radical,strokes,total_strokes
고,특급Ⅱ,暠,"[[['밝을'], ['고']], [['흴'], ['호']]]",日,10,14
고,특급Ⅱ,攷,"[[['상고할[考]'], ['고']]]",攴,2,6
고,특급Ⅱ,尻,"[[['꽁무니'], ['고']]]",尸,2,5
고,특급Ⅱ,苽,"[[['줄'], ['고']], [['오이'], ['과']]]",艸,5,9
고,특급Ⅱ,睾,"[[['불알'], ['고']]]",目,9,14
곡,특급Ⅱ,斛,"[[['휘'], ['곡']]]",斗,7,11
곤,특급Ⅱ,琨,"[[['옥돌'], ['곤']]]",玉,8,12
곤,특급Ⅱ,鯤,"[[['곤어'], ['곤']]]",魚,8,19
곤,특급Ⅱ,滾,"[[['넘쳐흐를'], ['곤']]]",水,11,14
곤,특급Ⅱ,梱,"[[['문지방'], ['곤']]]",木,7,11
곤,특급Ⅱ,崑,"[[['산이름'], ['곤']]]",山,8,11
공,특급Ⅱ,控,"[[['당길'], ['공']]]",手,8,11
공,특급Ⅱ,蚣,"[[['지네'], ['공']]]",虫,4,10
공,특급Ⅱ,珙,"[[['큰옥'], ['공']]]",玉,6,10
과,특급Ⅱ,鍋,"[[['노구솥'], ['과']]]",金,9,17
과,특급Ⅱ,跨,"[[['넘을'], ['과']]]",足,6,13
관,특급Ⅱ,瓘,"[[['옥'], ['관']]]",玉,18,22
관,특급Ⅱ,菅,"[[['왕골'], ['관']]]",艸,8,12
관,특급Ⅱ,罐,"[[['물동이'], ['관']]]",缶,18,24
관,특급Ⅱ,梡,"[[['도마'], ['관']]]",木,7,11
괄,특급Ⅱ,适,"[[['빠를'], ['괄']]]",辵,6,10
괄,특급Ⅱ,恝,"[[['괄시할'], ['괄']]]",心,6,10
광,특급Ⅱ,珖,"[[['옥피리'], ['광']]]",玉,6,10
광,특급Ⅱ,洸,"[[['물솟을'], ['광']]]",水,6,9
광,특급Ⅱ,筐,"[[['광주리'], ['광']]]",竹,6,12
광,특급Ⅱ,侊,"[[['성할'], ['광']]]",人,6,8
광,특급Ⅱ,炚,"[[['빛날'], ['광']]]",火,4,8
굉,특급Ⅱ,紘,"[[['벼리'], ['굉']]]",糸,4,10
교,특급Ⅱ,嶠,"[[['산길'], ['교']]]",山,12,15
교,특급Ⅱ,鮫,"[[['상어'], ['교']]]",魚,6,17
교,특급Ⅱ,餃,"[[['교자'], ['교']]]",食,6,15
교,특급Ⅱ,翹,"[[['우뚝할'], ['교']]]",羽,12,18
교,특급Ⅱ,蕎,"[[['메밀'], ['교']]]",艸,12,16
구,특급Ⅱ,絿,"[[['급할'], ['구']]]",糸,7,13
