main_sound,level,hanja,meaning,radical,strokes,total_strokes
가,7급Ⅱ,家,"[[['집'], ['가']]]",宀,7,10
간,7급Ⅱ,間,"[[['사이'], ['간']]]",門,4,12
강,7급Ⅱ,江,"[[['강'], ['강']]]",水,3,6
거,7급Ⅱ,車,"[[['수레'], ['거']], [['수레'], ['차']]]",車,0,7
공,7급Ⅱ,工,"[[['장인'], ['공']]]",工,0,3
공,7급Ⅱ,空,"[[['빌'], ['공']]]",穴,3,8
기,7급Ⅱ,氣,"[[['기운'], ['기']]]",气,6,10
기,7급Ⅱ,記,"[[['기록할'], ['기']]]",言,3,10
남,7급Ⅱ,男,"[[['사내'], ['남']]]",田,2,7
내,7급Ⅱ,內,"[[['안'], ['내']]]",入,2,4
농,7급Ⅱ,農,"[[['농사'], ['농']]]",辰,6,13
답,7급Ⅱ,答,"[[['대답'], ['답']]]",竹,6,12
도,7급Ⅱ,道,"[[['길'], ['도']]]",辵,9,13
동,7급Ⅱ,動,"[[['움직일'], ['동']]]",力,9,11
력,7급Ⅱ,力,"[[['힘'], ['력']]]",力,0,2
립,7급Ⅱ,立,"[[['설'], ['립']]]",立,0,5
매,7급Ⅱ,每,"[[['매양'], ['매']]]",毋,3,7
명,7급Ⅱ,名,"[[['이름'], ['명']]]",口,3,6
물,7급Ⅱ,物,"[[['물건'], ['물']]]",牛,4,8
방,7급Ⅱ,方,"[[['모[棱]'], ['방']]]",方,0,4
불,7급Ⅱ,不,"[[['아닐'], ['불']]]",一,3,4
사,7급Ⅱ,事,"[[['일'], ['사']]]",亅,7,8
상,7급Ⅱ,上,"[[['윗'], ['상']]]",一,2,3
성,7급Ⅱ,姓,"[[['성'], ['성']]]",女,5,8
세,7급Ⅱ,世,"[[['인간'], ['세']]]",一,4,5
수,7급Ⅱ,手,"[[['손'], ['수']]]",手,0,4
시,7급Ⅱ,時,"[[['때'], ['시']]]",日,6,10
시,7급Ⅱ,市,"[[['저자'], ['시']]]",巾,2,5
식,7급Ⅱ,食,"[[['밥', '먹을'], ['식']]]",食,0,9
안,7급Ⅱ,安,"[[['편안'], ['안']]]",宀,3,6
오,7급Ⅱ,午,"[[['낮'], ['오']]]",十,2,4
우,7급Ⅱ,右,"[[['오를', '오른(쪽)'], ['우']]]",口,2,5
자,7급Ⅱ,子,"[[['아들'], ['자']]]",子,0,3
자,7급Ⅱ,自,"[[['스스로'], ['자']]]",自,0,6
장,7급Ⅱ,場,"[[['마당'], ['장']]]",土,9,12
전,7급Ⅱ,電,"[[['번개'], ['전']]]",雨,5,13
전,7급Ⅱ,前,"[[['앞'], ['전']]]",刀,7,9
전,7급Ⅱ,全,"[[['온전'], ['전']]]",入,4,6
정,7급Ⅱ,正,"[[['바를'], ['정']]]",止,1,5
족,7급Ⅱ,足,"[[['발'], ['족']]]",足,0,7
좌,7급Ⅱ,左,"[[['왼'], ['좌']]]",工,2,5
직,7급Ⅱ,直,"[[['곧을'], ['직']]]",目,3,8
평,7급Ⅱ,平,"[[['평평할'], ['평']]]",干,2,5
하,7급Ⅱ,下,"[[['아래'], ['하']]]",一,2,3
한,7급Ⅱ,漢,"[[['한수', '한나라'], ['한']]]",水,11,14
해,7급Ⅱ,海,"[[['바다'], ['해']]]",水,7,10
화,7급Ⅱ,話,"[[['말씀'], ['화']]]",言,6,13
활,7급Ⅱ,活,"[[['살'], ['활']]]",水,6,9
효,7급Ⅱ,孝,"[[['효도'], ['효']]]",子,4,7
후,7급Ⅱ,後,"[[['뒤'], ['후']]]",彳,6,9
