main_sound,level,hanja,meaning,radical,strokes,total_strokes
가,1급,嘉,"[[['아름다울'], ['가']]]",口,11,14
가,1급,呵,"[[['꾸짖을'], ['가']]]",口,5,8
가,1급,嫁,"[[['시집갈'], ['가']]]",女,10,13
가,1급,稼,"[[['심을'], ['가']]]",禾,10,15
가,1급,苛,"[[['가혹할'], ['가']]]",艸,5,9
가,1급,袈,"[[['가사(袈裟)'], ['가']]]",衣,5,11
가,1급,駕,"[[['멍에'], ['가']]]",馬,5,15
가,1급,哥,"[[['성(姓)'], ['가']]]",口,7,10
각,1급,恪,"[[['삼갈'], ['각']]]",心,6,9
각,1급,殼,"[[['껍질'], ['각']]]",殳,8,12
간,1급,奸,"[[['간사할'], ['간']]]",女,3,6
간,1급,墾,"[[['개간할'], ['간']]]",土,13,16
간,1급,澗,"[[['산골물'], ['간']]]",水,12,15
간,1급,癎,"[[['간질'], ['간']]]",疒,12,17
간,1급,竿,"[[['낚싯대'], ['간']]]",竹,3,9
간,1급,艱,"[[['어려울'], ['간']]]",艮,11,17
간,1급,諫,"[[['간할'], ['간']]]",言,9,16
간,1급,揀,"[[['가릴'], ['간']]]",手,9,12
갈,1급,喝,"[[['꾸짖을'], ['갈']]]",口,9,12
갈,1급,竭,"[[['다할'], ['갈']]]",立,9,14
갈,1급,褐,"[[['갈색', '굵은베'], ['갈']]]",衣,9,14
감,1급,堪,"[[['견딜'], ['감']]]",土,9,12
감,1급,柑,"[[['귤'], ['감']]]",木,5,9
감,1급,疳,"[[['감질'], ['감']]]",疒,5,10
감,1급,瞰,"[[['굽어볼'], ['감']]]",目,12,17
감,1급,紺,"[[['감색', '연보라'], ['감']]]",糸,5,11
감,1급,勘,"[[['헤아릴'], ['감']]]",力,9,11
갑,1급,匣,"[[['갑(匣)'], ['갑']]]",匚,5,7
갑,1급,閘,"[[['수문'], ['갑']]]",門,5,13
강,1급,腔,"[[['속빌'], ['강']]]",肉,8,12
강,1급,慷,"[[['슬플'], ['강']]]",心,11,14
강,1급,糠,"[[['겨'], ['강']]]",米,11,17
강,1급,薑,"[[['생강'], ['강']]]",艸,13,17
개,1급,愾,"[[['성낼'], ['개']]]",心,10,13
개,1급,漑,"[[['물댈'], ['개']]]",水,11,14
개,1급,凱,"[[['개선할'], ['개']]]",几,10,12
개,1급,箇,"[[['낱'], ['개']]]",竹,8,14
개,1급,芥,"[[['겨자'], ['개']]]",艸,4,8
갱,1급,羹,"[[['국'], ['갱']]]",羊,13,19
거,1급,醵,"[[['추렴할'], ['거']], [['추렴할'], ['갹']]]",酉,13,20
거,1급,渠,"[[['개천'], ['거']]]",水,9,12
거,1급,倨,"[[['거만할'], ['거']]]",人,8,10
건,1급,巾,"[[['수건'], ['건']]]",巾,0,3
건,1급,腱,"[[['힘줄'], ['건']]]",肉,9,13
건,1급,虔,"[[['공경할'], ['건']]]",虍,4,10
겁,1급,怯,"[[['겁낼'], ['겁']]]",心,5,8
겁,1급,劫,"[[['위협할'], ['겁']]]",力,5,7
게,1급,偈,"[[['불시(佛詩)'], ['게']]]",人,9,11
격,1급,檄,"[[['격문(檄文)'], ['격']]]",木,13,17
격,1급,膈,"[[['가슴'], ['격']]]",肉,10,14
격,1급,覡,"[[['박수[男巫]'], ['격']]]",見,7,14
견,1급,繭,"[[['고치'], ['견']]]",糸,13,19
견,1급,譴,"[[['꾸짖을'], ['견']]]",言,14,21
견,1급,鵑,"[[['두견새'], ['견']]]",鳥,7,18
경,1급,勁,"[[['굳셀'], ['경']]]",力,7,9
경,1급,鯨,"[[['고래'], ['경']]]",魚,8,19
경,1급,憬,"[[['깨달을', '동경할'], ['경']]]",心,12,15
경,1급,頸,"[[['목'], ['경']]]",頁,7,16
경,1급,莖,"[[['줄기'], ['경']]]",艸,7,11
경,1급,脛,"[[['정강이'], ['경']]]",肉,7,11
경,1급,磬,"[[['경쇠'], ['경']]]",石,11,16
경,1급,痙,"[[['경련(痙攣)'], ['경']]]",疒,7,12
경,1급,梗,"[[['줄기', '막힐'], ['경']]]",木,7,11
계,1급,悸,"[[['두근거릴'], ['계']]]",心,8,11
고,1급,敲,"[[['두드릴'], ['고']]]",攴,10,14
고,1급,辜,"[[['허물'], ['고']]]",辛,5,12
고,1급,袴,"[[['바지'], ['고']]]",衣,6,11
고,1급,拷,"[[['칠'], ['고']]]",手,6,9
고,1급,叩,"[[['두드릴'], ['고']]]",口,2,5
고,1급,股,"[[['넓적다리'], ['고']]]",肉,4,8
고,1급,呱,"[[['울'], ['고']]]",口,5,8
고,1급,膏,"[[['기름'], ['고']]]",肉,10,14
고,1급,痼,"[[['고질'], ['고']]]",疒,8,13
고,1급,錮,"[[['막을'], ['고']]]",金,8,16
곡,1급,梏,"[[['수갑'], ['곡']]]",木,7,11
곡,1급,鵠,"[[['고니', '과녁'], ['곡']]]",鳥,7,18
곤,1급,昆,"[[['맏'], ['곤']]]",日,4,8
곤,1급,棍,"[[['몽둥이'], ['곤']]]",木,8,12
곤,1급,袞,"[[['곤룡포'], ['곤']]]",衣,5,11
골,1급,汨,"[[['골몰할'], ['골']], [['물이름'], ['멱']]]",水,4,7
공,1급,鞏,"[[['굳을'], ['공']]]",革,6,15
공,1급,拱,"[[['팔짱낄'], ['공']]]",手,6,9
과,1급,顆,"[[['낱알'], ['과']]]",頁,8,17
곽,1급,廓,"[[['둘레'], ['곽']], [['클'], ['확']]]",广,11,14
곽,1급,槨,"[[['외관(外棺)'], ['곽']]]",木,11,15
곽,1급,藿,"[[['콩잎', '미역'], ['곽']]]",艸,16,20
관,1급,棺,"[[['널'], ['관']]]",木,8,12
관,1급,顴,"[[['광대뼈'], ['관']]]",頁,18,27
관,1급,灌,"[[['물댈'], ['관']]]",水,18,21
괄,1급,刮,"[[['긁을'], ['괄']]]",刀,6,8
괄,1급,括,"[[['묶을'], ['괄']]]",手,6,9
광,1급,曠,"[[['빌'], ['광']]]",日,15,19
광,1급,壙,"[[['뫼구덩이'], ['광']]]",土,15,18
광,1급,匡,"[[['바룰'], ['광']]]",匚,4,6
광,1급,胱,"[[['오줌통'], ['광']]]",肉,6,10
괘,1급,罫,"[[['줄[罫線]'], ['괘']]]",网,8,13
괘,1급,卦,"[[['점괘'], ['괘']]]",卜,6,8
괴,1급,拐,"[[['후릴'], ['괴']]]",手,5,8
괴,1급,魁,"[[['괴수'], ['괴']]]",鬼,4,14
괴,1급,乖,"[[['어그러질'], ['괴']]]",丿,7,8
굉,1급,肱,"[[['팔뚝'], ['굉']]]",肉,4,8
굉,1급,轟,"[[['울릴', '수레소리'], ['굉']]]",車,14,21
굉,1급,宏,"[[['클'], ['굉']]]",宀,4,7
교,1급,攪,"[[['흔들'], ['교']]]",手,20,23
교,1급,咬,"[[['물[齧]', '새소리'], ['교']]]",口,6,9
교,1급,喬,"[[['높을'], ['교']]]",口,9,12
교,1급,驕,"[[['교만할'], ['교']]]",馬,12,22
교,1급,轎,"[[['가마'], ['교']]]",車,12,19
교,1급,蛟,"[[['교룡(蛟龍)'], ['교']]]",虫,6,12
교,1급,皎,"[[['달밝을'], ['교']]]",白,6,11
교,1급,狡,"[[['교활할'], ['교']]]",犬,6,9
교,1급,嬌,"[[['아리따울'], ['교']]]",女,12,15
구,1급,矩,"[[['모날', '법'], ['구']]]",矢,5,10
구,1급,駒,"[[['망아지'], ['구']]]",馬,5,15
구,1급,鳩,"[[['비둘기'], ['구']]]",鳥,2,13
구,1급,舅,"[[['시아비', '외삼촌'], ['구']]]",臼,7,13
구,1급,枸,"[[['구기자(枸杞子)'], ['구']]]",木,5,9
구,1급,廏,"[[['마구'], ['구']]]",广,11,14
구,1급,寇,"[[['도적'], ['구']]]",宀,8,11
구,1급,嘔,"[[['게울'], ['구']]]",口,11,14
구,1급,仇,"[[['원수'], ['구']]]",人,2,4
구,1급,垢,"[[['때'], ['구']]]",土,6,9
구,1급,衢,"[[['네거리'], ['구']]]",行,18,24
구,1급,鉤,"[[['갈고리'], ['구']]]",金,5,13
구,1급,臼,"[[['절구'], ['구']]]",臼,0,6
구,1급,毆,"[[['때릴'], ['구']]]",殳,11,15
구,1급,溝,"[[['도랑'], ['구']]]",水,10,13
구,1급,灸,"[[['뜸'], ['구']]]",火,3,7
구,1급,軀,"[[['몸'], ['구']]]",身,11,18
구,1급,柩,"[[['널[棺]'], ['구']]]",木,5,9
구,1급,謳,"[[['노래'], ['구']]]",言,11,18
구,1급,嶇,"[[['험할'], ['구']]]",山,11,14
군,1급,窘,"[[['군색할'], ['군']]]",穴,7,12
궁,1급,躬,"[[['몸'], ['궁']]]",身,3,10
궁,1급,穹,"[[['하늘'], ['궁']]]",穴,3,8
권,1급,眷,"[[['돌볼'], ['권']]]",目,6,11
권,1급,捲,"[[['거둘', '말'], ['권']]]",手,8,11
권,1급,倦,"[[['게으를'], ['권']]]",人,8,10
궐,1급,蹶,"[[['일어설', '넘어질'], ['궐']]]",足,12,19
궤,1급,潰,"[[['무너질'], ['궤']]]",水,12,15
궤,1급,詭,"[[['속일'], ['궤']]]",言,6,13
궤,1급,几,"[[['안석'], ['궤']]]",几,0,2
궤,1급,櫃,"[[['궤짝'], ['궤']]]",木,14,18
궤,1급,机,"[[['책상'], ['궤']]]",木,2,6
규,1급,逵,"[[['길거리'], ['규']]]",辵,8,12
규,1급,葵,"[[['아욱', '해바라기'], ['규']]]",艸,9,13
규,1급,窺,"[[['엿볼'], ['규']]]",穴,11,16
규,1급,硅,"[[['규소'], ['규']]]",石,6,11
귤,1급,橘,"[[['귤'], ['귤']]]",木,12,16
극,1급,隙,"[[['틈'], ['극']]]",阜,10,13
극,1급,剋,"[[['이길'], ['극']]]",刀,7,9
극,1급,戟,"[[['창'], ['극']]]",戈,8,12
극,1급,棘,"[[['가시'], ['극']]]",木,8,12
근,1급,饉,"[[['주릴'], ['근']]]",食,11,20
근,1급,覲,"[[['뵐'], ['근']]]",見,11,18
금,1급,襟,"[[['옷깃'], ['금']]]",衣,13,18
금,1급,擒,"[[['사로잡을'], ['금']]]",手,13,16
금,1급,衾,"[[['이불'], ['금']]]",衣,4,10
급,1급,扱,"[[['거둘'], ['급']], [['꽂을'], ['삽']]]",手,4,7
급,1급,汲,"[[['물길을'], ['급']]]",水,4,7
긍,1급,矜,"[[['자랑할'], ['긍']]]",矛,4,9
긍,1급,亘,"[[['뻗칠'], ['긍']], [['베풀'], ['선']]]",二,4,6
기,1급,譏,"[[['비웃을'], ['기']]]",言,12,19
기,1급,肌,"[[['살[膚肉]'], ['기']]]",肉,2,6
기,1급,綺,"[[['비단'], ['기']]]",糸,8,14
기,1급,杞,"[[['구기자(枸杞子)'], ['기']]]",木,3,7
기,1급,朞,"[[['돌'], ['기']]]",月,8,12
기,1급,崎,"[[['험할'], ['기']]]",山,8,11
기,1급,妓,"[[['기생'], ['기']]]",女,4,7
기,1급,伎,"[[['재간'], ['기']]]",人,4,6
기,1급,羈,"[[['굴레', '나그네'], ['기']]]",网,19,24
기,1급,嗜,"[[['즐길'], ['기']]]",口,10,13
기,1급,畸,"[[['뙈기밭', '불구(不具)'], ['기']]]",田,8,13
길,1급,拮,"[[['일할'], ['길']]]",手,6,9
