main_sound,level,hanja,meaning,radical,strokes,total_strokes
가,4급,暇,"[[['틈', '겨를'], ['가']]]",日,9,13
각,4급,刻,"[[['새길'], ['각']]]",刀,6,8
각,4급,覺,"[[['깨달을'], ['각']]]",見,13,20
간,4급,簡,"[[['대쪽', '간략할'], ['간']]]",竹,12,18
간,4급,看,"[[['볼'], ['간']]]",目,4,9
간,4급,干,"[[['방패'], ['간']]]",干,0,3
감,4급,甘,"[[['달'], ['감']]]",甘,0,5
감,4급,敢,"[[['감히', '구태여'], ['감']]]",攴,8,12
갑,4급,甲,"[[['갑옷'], ['갑']]]",田,0,5
강,4급,降,"[[['내릴'], ['강']], [['항복할'], ['항']]]",阜,6,9
거,4급,拒,"[[['막을'], ['거']]]",手,5,8
거,4급,居,"[[['살'], ['거']]]",尸,5,8
거,4급,據,"[[['근거'], ['거']]]",手,13,16
거,4급,巨,"[[['클'], ['거']]]",工,2,5
걸,4급,傑,"[[['뛰어날'], ['걸']]]",人,10,12
검,4급,儉,"[[['검소할'], ['검']]]",人,13,15
격,4급,擊,"[[['칠[打]'], ['격']]]",手,13,17
격,4급,激,"[[['격할'], ['격']]]",水,13,16
견,4급,堅,"[[['굳을'], ['견']]]",土,8,11
견,4급,犬,"[[['개'], ['견']]]",犬,0,4
경,4급,驚,"[[['놀랄'], ['경']]]",馬,13,23
경,4급,更,"[[['고칠'], ['경']], [['다시'], ['갱']]]",曰,3,7
경,4급,傾,"[[['기울'], ['경']]]",人,11,13
경,4급,鏡,"[[['거울'], ['경']]]",金,11,19
계,4급,階,"[[['섬돌'], ['계']]]",阜,9,12
계,4급,鷄,"[[['닭'], ['계']]]",鳥,10,21
계,4급,季,"[[['계절'], ['계']]]",子,5,8
계,4급,系,"[[['이어맬'], ['계']]]",糸,1,7
계,4급,繼,"[[['이을'], ['계']]]",糸,14,20
계,4급,戒,"[[['경계할'], ['계']]]",戈,3,7
고,4급,孤,"[[['외로울'], ['고']]]",子,5,8
고,4급,庫,"[[['곳집'], ['고']]]",广,7,10
곡,4급,穀,"[[['곡식'], ['곡']]]",禾,10,15
곤,4급,困,"[[['곤할'], ['곤']]]",囗,4,7
골,4급,骨,"[[['뼈'], ['골']]]",骨,0,10
공,4급,孔,"[[['구멍'], ['공']]]",子,1,4
공,4급,攻,"[[['칠[擊]'], ['공']]]",攴,3,7
관,4급,管,"[[['대롱', '주관할'], ['관']]]",竹,8,14
광,4급,鑛,"[[['쇳돌'], ['광']]]",金,15,23
구,4급,構,"[[['얽을'], ['구']]]",木,10,14
군,4급,君,"[[['임금'], ['군']]]",口,4,7
군,4급,群,"[[['무리'], ['군']]]",羊,7,13
굴,4급,屈,"[[['굽힐'], ['굴']]]",尸,5,8
궁,4급,窮,"[[['다할', '궁할'], ['궁']]]",穴,10,15
권,4급,券,"[[['문서'], ['권']]]",刀,6,8
권,4급,勸,"[[['권할'], ['권']]]",力,18,20
권,4급,卷,"[[['책'], ['권']]]",卩,6,8
