main_sound,level,hanja,meaning,radical,strokes,total_strokes
가,7급,歌,"[[['노래'], ['가']]]",欠,10,14
구,7급,口,"[[['입'], ['구']]]",口,0,3
기,7급,旗,"[[['기'], ['기']]]",方,10,14
동,7급,同,"[[['한가지'], ['동']]]",口,3,6
동,7급,洞,"[[['골'], ['동']], [['밝을'], ['통']]]",水,6,9
동,7급,冬,"[[['겨울'], ['동']]]",冫,3,5
등,7급,登,"[[['오를'], ['등']]]",癶,7,12
래,7급,來,"[[['올'], ['래']]]",人,6,8
로,7급,老,"[[['늙을'], ['로']]]",老,0,6
리,7급,里,"[[['마을'], ['리']]]",里,0,7
림,7급,林,"[[['수풀'], ['림']]]",木,4,8
면,7급,面,"[[['낯'], ['면']]]",面,0,9
명,7급,命,"[[['목숨'], ['명']]]",口,5,8
문,7급,文,"[[['글월'], ['문']]]",文,0,4
문,7급,問,"[[['물을'], ['문']]]",口,8,11
백,7급,百,"[[['일백'], ['백']]]",白,1,6
부,7급,夫,"[[['지아비'], ['부']]]",大,1,4
산,7급,算,"[[['셈'], ['산']]]",竹,8,14
색,7급,色,"[[['빛'], ['색']]]",色,0,6
석,7급,夕,"[[['저녁'], ['석']]]",夕,0,3
소,7급,少,"[[['적을'], ['소']]]",小,1,4
소,7급,所,"[[['바'], ['소']]]",戶,4,8
수,7급,數,"[[['셈'], ['수']]]",攴,11,15
식,7급,植,"[[['심을'], ['식']]]",木,8,12
심,7급,心,"[[['마음'], ['심']]]",心,0,4
어,7급,語,"[[['말씀'], ['어']]]",言,7,14
연,7급,然,"[[['그럴'], ['연']]]",火,8,12
유,7급,有,"[[['있을'], ['유']]]",月,2,6
육,7급,育,"[[['기를'], ['육']]]",肉,4,8
읍,7급,邑,"[[['고을'], ['읍']]]",邑,0,7
입,7급,入,"[[['들'], ['입']]]",入,0,2
자,7급,字,"[[['글자'], ['자']]]",子,3,6
조,7급,祖,"[[['할아비'], ['조']]]",示,5,10
주,7급,住,"[[['살'], ['주']]]",人,5,7
주,7급,主,"[[['임금', '주인'], ['주']]]",丶,4,5
중,7급,重,"[[['무거울'], ['중']]]",里,2,9
지,7급,紙,"[[['종이'], ['지']]]",糸,4,10
지,7급,地,"[[['따'], ['지']]]",土,3,6
천,7급,千,"[[['일천'], ['천']]]",十,1,3
천,7급,天,"[[['하늘'], ['천']]]",大,1,4
천,7급,川,"[[['내'], ['천']]]",巛,0,3
초,7급,草,"[[['풀'], ['초']]]",艸,6,10
촌,7급,村,"[[['마을'], ['촌']]]",木,3,7
추,7급,秋,"[[['가을'], ['추']]]",禾,4,9
춘,7급,春,"[[['봄'], ['춘']]]",日,5,9
출,7급,出,"[[['날[生]'], ['출']]]",凵,3,5
편,7급,便,"[[['편할'], ['편']], [['똥오줌'], ['변']]]",人,7,9
하,7급,夏,"[[['여름'], ['하']]]",夊,7,10
화,7급,花,"[[['꽃'], ['화']]]",艸,4,8
휴,7급,休,"[[['쉴'], ['휴']]]",人,4,6
